App                  | Model                          | Count     
-----------------------------------------------------------------
users                | Role                           | 6         
users                | User                           | 10        
users                | Notification                   | 0         
employees            | Department                     | 8         
employees            | Designation                    | 7         
employees            | Employee                       | 10        
hr                   | Attendance                     | 41        
hr                   | LeaveType                      | 4         
hr                   | Leave                          | 95        
hr                   | DocumentCategory               | 3         
hr                   | Document                       | 0         
workforce_tasks      | Task                           | 5         
workforce_tasks      | ActivityLog                    | 0         
finance              | Payroll                        | 60        
finance              | Reimbursement                  | 83        
finance              | Transaction                    | 210       
recruitment          | JobCategory                    | 0         
recruitment          | HiringStage                    | 0         
recruitment          | Job                            | 0         
recruitment          | Candidate                      | 0         
recruitment          | CandidateStageHistory          | ERROR: (1146, "Table 'workforce360.recruitment_candidatestagehistory' doesn't exist")
recruitment          | Interview                      | ERROR: (1146, "Table 'workforce360.recruitment_interview' doesn't exist")
visitors             | Visitor                        | 1         
visitors             | GateEntry                      | 0         
visitors             | Vehicle                        | 0         
visitors             | Company                        | 1         
projects             | Service                        | 0         
projects             | Solution                       | 0         
projects             | Project                        | 0         
projects             | ProjectMilestone               | 0         
projects             | ProjectDocument                | 0         
outsourcing          | StaffingRequest                | 0         
outsourcing          | OutsourcedStaff                | 0         
outsourcing          | StaffingContract               | 0         
outsourcing          | StaffingTimesheet              | 0         
clients              | Client                         | 1         
clients              | ClientContact                  | 2         
clients              | ClientSite                     | 1         
marketing            | MarketingAnalysis              | 0         
marketing            | MarketingStrategy              | 0         
marketing            | MarketingPlan                  | 0         
marketing            | MarketingCampaign              | 0         
sales                | Quotation                      | 0         
sales                | QuotationItem                  | 0         
sales                | WorkOrder                      | 0         
sales                | Invoice                        | 0         
sales                | InvoiceItem                    | 0         
sales                | Payment                        | 0         
operations           | Deployment                     | 1         
cafm                 | Facility                       | 3         
cafm                 | Space                          | 7         
cafm                 | Asset                          | 6         
cafm                 | MaintenanceRequest             | 5         
cafm                 | MaintenanceLog                 | 0         
